,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,star_rating,ratings,latest_price
874,MSI,Delta,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,0,No,No,0.0,0,1786.68
875,ASUS,VivoBook,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,4.5,14,1276.16
876,ASUS,ROG,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,16.0,1,Yes,No,4.7,14,1397.71
877,ASUS,ROG,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,16.0,1,Yes,Yes,5.0,3,1519.27
878,ASUS,Zenbook,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,0,Casual,16.0,0,Yes,No,0.0,0,1640.82
879,HP,OMEN,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,8,Casual,16.0,1,No,Yes,0.0,0,1725.9
880,ASUS,Rog,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1580.04
881,ASUS,ROG,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,15.12,1,Yes,Yes,4.0,4,1738.06
882,ASUS,Zephyrus,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1482.8
883,ASUS,ROG,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,15.12,1,Yes,Yes,4.2,44,1519.27
884,ASUS,ROG,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,6,Casual,16.0,0,No,No,4.2,61,1725.9
885,ASUS,VivoBook,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,4,Casual,16.0,1,No,No,0.0,0,1981.16
886,ASUS,VivoBook,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1586.24
887,ASUS,VivoBook,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,4,Casual,15.12,0,No,No,0.0,0,1422.03
888,ASUS,Ryzen,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,32,6,Casual,16.0,0,No,No,0.0,0,1689.44
889,ASUS,ROG,AMD,Ryzen 9,9.0,4,LPDDR4X,1024,0,Windows,64,4,Casual,15.12,1,Yes,Yes,0.0,0,2856.33
890,ASUS,ROG,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1652.97
891,ASUS,ROG,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,0,Casual,16.0,1,No,No,0.0,0,1762.37
892,ASUS,Ryzen,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,4,Casual,15.12,1,No,No,0.0,0,1823.14
893,ASUS,Ryzen,AMD,Ryzen 9,9.0,4,DDR4,1024,0,Windows,64,4,Casual,16.0,1,No,No,0.0,0,1738.06
894,SAMSUNG,Galaxy,Qualcomm,Snapdragon 7c,,4,LPDDR4X,0,512,Windows,32,0,Casual,15.12,0,No,No,0.0,0,473.93
895,Lenovo,Thinkpad,AMD,Ryzen 5,11.0,8,DDR4,512,0,DOS,64,0,ThinNlight,14.0,0,No,No,4.2,18,698.8
